Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"8171 Maple Lawn Blvd, Fulton, Maryland, 20759",PointAddress,Fulton,20759,USA,0,-76.905734,39.148467,20090658,2009,659,Havit Advertising,8171 Maple Lawn Blvd,Suite 350,Fulton,20759,Advertising & Marketing,2003,6715019,18,4.218,1,24027,MD,Howard County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",265,24,27,605102,24027605102,6051.02,Census Tract 6051.02,G5020,S,37814458,848741,39.1656378,-76.925574
USA.PointAddress,M,96.85,A,"8171 Maple Lawn Blvd, Fulton, Maryland, 20759",PointAddress,Fulton,20759,USA,0,-76.905734,39.148467,20122362,2012,2362,Offit Kurman,8171 Maple Lawn Blvd.,Suite 200,Maple Lawn,20759,Business Products & Services,1987,35031270,157,1.051,1,24027,MD,Howard County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",265,24,27,605102,24027605102,6051.02,Census Tract 6051.02,G5020,S,37814458,848741,39.1656378,-76.925574
USA.PointAddress,M,98.65,A,"2936 Odonnell St, Baltimore, Maryland, 21224",PointAddress,Baltimore,21224,USA,0,-76.574212,39.280418,20140992,2014,992,Keller Williams Legacy Partners,2936 O'Donnell St, ,Baltimore,21224,Real Estate,2008,8469484,280,4.532,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",272,24,510,10100,24510010100,101,Census Tract 101,G5020,S,393198,148387,39.2786343,-76.5745793
USA.PointAddress,M,100,A,"415 S Central Ave, Baltimore, Maryland, 21202",PointAddress,Baltimore,21202,USA,0,-76.599186,39.285983,20152030,2015,2030,Groove Commerce,415 S Central Ave, ,Baltimore,21202,Advertising & Marketing,2007,4159000,50,1.9392,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",273,24,510,30100,24510030100,301,Census Tract 301,G5020,S,427358,0,39.2894071,-76.5965747
USA.PointAddress,M,100,A,"2220 Boston St, Baltimore, Maryland, 21231",PointAddress,Baltimore,21231,USA,0,-76.584777,39.283336,20083621,2008,3616,Barcoding,2220 Boston St., ,Baltimore,21231,IT Services,1998,35520068,90,0.8817,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",275,24,510,10400,24510010400,104,Census Tract 104,G5020,S,373743,558487,39.2785,-76.5797059
USA.PointAddress,M,100,A,"2400 Boston St, Baltimore, Maryland, 21224",PointAddress,Baltimore,21224,USA,0,-76.581576,39.281415,20120232,2012,232,Millennial Media,"2400 Boston Street, Suite 201", ,Baltimore,21224,Advertising & Marketing,2006,103700000,222,15.507,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",275,24,510,10400,24510010400,104,Census Tract 104,G5020,S,373743,558487,39.2785,-76.5797059
USA.PointAddress,M,100,A,"2400 Boston St, Baltimore, Maryland, 21224",PointAddress,Baltimore,21224,USA,0,-76.581576,39.281415,20111635,2011,1635,R2integrated,2400 Boston St, ,Baltimore,21224,Advertising & Marketing,2004,9169000,70,1.661538,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",275,24,510,10400,24510010400,104,Census Tract 104,G5020,S,373743,558487,39.2785,-76.5797059
USA.StreetAddress,M,100,A,"2700 Lighthouse Pt E, Baltimore, Maryland, 21224",StreetAddress,Baltimore,21224,USA,0,-76.57766,39.278389,20133303,2013,3305,SmartCEO,2700 Lighthouse Point East,Suite 220A,Baltimore,21224,Media,2001,4904358,38,0.96,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",275,24,510,10400,24510010400,104,Census Tract 104,G5020,S,373743,558487,39.2785,-76.5797059
USA.PointAddress,M,100,A,"2081 Clipper Park Rd, Baltimore, Maryland, 21211",PointAddress,Baltimore,21211,USA,0,-76.647576,39.331194,20122545,2012,2544,Biohabitats,2081 Clipper Park Road, ,Baltimore,21211,Environmental Services,1988,11414000,54,0.95,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",299,24,510,130806,24510130806,1308.06,Census Tract 1308.06,G5020,S,1402397,707,39.3346113,-76.6503321
USA.PointAddress,M,100,A,"2701 Washington Blvd, Baltimore, Maryland, 21230",PointAddress,Baltimore,21230,USA,0,-76.654582,39.264737,20120659,2012,659,Pharmacare,2701 Washington Blvd, ,Baltimore,21230,Health,2006,31391541,103,5.454,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",310,24,510,250206,24510250206,2502.06,Census Tract 2502.06,G5020,S,2549601,18103,39.2660587,-76.6622617
USA.PointAddress,M,100,A,"7130 Minstrel Way, Columbia, Maryland, 21045",PointAddress,Columbia,21045,USA,0,-76.845331,39.178167,20142531,2014,2531,Russell Corrosion Consultants,7130 Minstrel Way,Suite 230,Columbia,21045,Engineering,1993,5446836,35,1.491,1,24027,MD,Howard County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",311,24,27,606705,24027606705,6067.05,Census Tract 6067.05,G5020,S,1424289,27995,39.17942,-76.8380595
USA.PointAddress,M,100,A,"9891 Broken Land Pkwy, Columbia, Maryland, 21046",PointAddress,Columbia,21046,USA,0,-76.85103,39.185714,20080743,2008,740,"Applied Network Solutions, Inc.",9891 Broken Land Parkway,Suite 100,Columbia,21046,Government Services,1999,3439547,23,4.6838,1,24027,MD,Howard County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",313,24,27,606701,24027606701,6067.01,Census Tract 6067.01,G5020,S,3626319,6280,39.1845223,-76.854749
USA.PointAddress,M,100,A,"9891 Broken Land Pkwy, Columbia, Maryland, 21046",PointAddress,Columbia,21046,USA,0,-76.85103,39.185714,20121119,2012,1119,Freedom Consulting Group,9891 Broken Land Parkway,Suite 106,Columbia,21046,Government Services,2004,15371979,53,2.822,1,24027,MD,Howard County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",313,24,27,606701,24027606701,6067.01,Census Tract 6067.01,G5020,S,3626319,6280,39.1845223,-76.854749
USA.PointAddress,M,100,A,"6325 Woodside Ct, Columbia, Maryland, 21046",PointAddress,Columbia,21046,USA,0,-76.853127,39.194963,20141176,2014,1176,Waldon Studio Architects,6325 Woodside Court,Suite 310,Columbia,21046,Construction,2010,7384324,22,3.723,1,24027,MD,Howard County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",313,24,27,606701,24027606701,6067.01,Census Tract 6067.01,G5020,S,3626319,6280,39.1845223,-76.854749
