"","City","company_na","GEOID","full_name","ALAND","X","Y","Match_addr","year","industry","employees","revenue","growth","employeesgroup","revenuegroup","growthgroup"
"466","Stockbridge","Bulldog Marine",13151070104,"Atlanta-Sandy Springs-Marietta, GA",23156978,-84.244241,33.50124,"1740 Hudson Bridge Rd, Stockbridge, Georgia, 30281",2009,"Construction",360,8932000,0.975,3,1,1
"467","Atlanta","Symmetrics Group",13067031212,"Atlanta-Sandy Springs-Marietta, GA",3992899,-84.473745,33.847413,"4411 Paradise Cir SE, Atlanta, Georgia, 30339",2014,"Business Products & Services",18,3180527,4.2758,1,1,3
"468","Atlanta","Digital Insurance",13067031211,"Atlanta-Sandy Springs-Marietta, GA",1485558,-84.472714,33.864001,"30339, Atlanta, Georgia",2015,"Insurance",554,94575000,1.5027,3,3,2
"469","Atlanta","Five Point",13067031211,"Atlanta-Sandy Springs-Marietta, GA",1485558,-84.472714,33.864001,"30339, Atlanta, Georgia",2013,"IT Services",116,27472000,2.3372,3,2,2
"470","Atlanta","Sunray Enterprise",13067031211,"Atlanta-Sandy Springs-Marietta, GA",1485558,-84.47235,33.862831,"3621 Vinings Slope SE, Atlanta, Georgia, 30339",2009,"IT Services",20,5774106,1.579,1,1,2
"471","Atlanta","Swift Straw",13067031211,"Atlanta-Sandy Springs-Marietta, GA",1485558,-84.480755,33.856315,"2255 Cumberland Pkwy SE, Atlanta, Georgia, 30339",2015,"Environmental Services",59,11148423,11.651,2,2,3
"472","Atlanta","West Physics Consulting",13067031211,"Atlanta-Sandy Springs-Marietta, GA",1485558,-84.478732,33.85508,"3825 Paces Walk SE, Atlanta, Georgia, 30339",2010,"Health",12,2653419,1.146,1,1,2
"473","Kennesaw","GB Investments",13067030227,"Atlanta-Sandy Springs-Marietta, GA",8649800,-84.608038,34.019339,"30156, Kennesaw, Georgia",2014,"Retail",19,31633834,2.2209,1,2,2
"474","Kennesaw","GunBroker.com",13067030227,"Atlanta-Sandy Springs-Marietta, GA",8649800,-84.608038,34.019339,"30156, Kennesaw, Georgia",2015,"Retail",26,22115072,1.0574,2,2,2
"475","Kennesaw","McNeal Professional Services",13067030227,"Atlanta-Sandy Springs-Marietta, GA",8649800,-84.614395,34.016433,"2593 Kennesaw Due West Rd NW, Kennesaw, Georgia, 30144",2014,"Telecommunications",141,11401040,1.8081,3,2,2
"476","Alpharetta","Eyecon Marketing Group",13117130604,"Atlanta-Sandy Springs-Marietta, GA",6371104,-84.208217,34.093162,"5174 McGinnis Ferry Rd, Alpharetta, Georgia, 30005",2009,"Business Products & Services",2,2700259,1.316,1,1,2
"477","Alpharetta","Saince",13117130604,"Atlanta-Sandy Springs-Marietta, GA",6371104,-84.199509,34.091068,"McGinnis Village Pl, Alpharetta, Georgia, 30005",2015,"Health",92,4028441,1.0025,2,1,2
"478","Cumming","The Rocket Company",13117130604,"Atlanta-Sandy Springs-Marietta, GA",6371104,-84.176554,34.115362,"1830 Peachtree Pkwy, Cumming, Georgia, 30041",2015,"Education",7,2320684,2.0113,1,1,2
"479","Cumming","Franchise Marketing Systems",13117130409,"Atlanta-Sandy Springs-Marietta, GA",8870221,-84.139351,34.2141,"425 Tribble Gap Rd, Cumming, Georgia, 30040",2015,"Business Products & Services",18,2107160,5.0406,1,1,3
"480","Cumming","Snap Technology",13117130409,"Atlanta-Sandy Springs-Marietta, GA",8870221,-84.135613,34.209893,"103 Pilgrim Village Dr, Cumming, Georgia, 30040",2015,"IT Services",19,2710489,1.2146,1,1,2
"481","Cumming","The Talmadge Group",13117130409,"Atlanta-Sandy Springs-Marietta, GA",8870221,-84.136298,34.211556,"343 Dahlonega St, Cumming, Georgia, 30040",2015,"IT Services",25,2651576,1.2209,2,1,2
"482","Alpharetta","Christmas Lights Etc",13117130603,"Atlanta-Sandy Springs-Marietta, GA",15129996,-84.209113,34.100795,"205 Curie Dr, Alpharetta, Georgia, 30005",2008,"Consumer Products & Services",10,7350250,1.1707,1,1,2
"483","Alpharetta","ClearStar",13117130603,"Atlanta-Sandy Springs-Marietta, GA",15129996,-84.208563,34.10645,"6525 Shiloh Rd, Alpharetta, Georgia, 30005",2014,"Human Resources",29,7793851,1.2722,2,1,2
"484","Alpharetta","CoolMiniOrNot",13117130603,"Atlanta-Sandy Springs-Marietta, GA",15129996,-84.212728,34.099454,"1290 Old Alpharetta Rd, Alpharetta, Georgia, 30005",2014,"Consumer Products & Services",20,6156000,14.9482,1,1,3
"485","Alpharetta","KidWise Outdoor Products",13117130603,"Atlanta-Sandy Springs-Marietta, GA",15129996,-84.211965,34.099626,"1272 Old Alpharetta Rd, Alpharetta, Georgia, 30005",2011,"Consumer Products & Services",10,4769146,1.796617,1,1,2
"486","Cumming","LogoIncluded",13117130603,"Atlanta-Sandy Springs-Marietta, GA",15129996,-84.194349,34.111523,"2665 Pine Grove Rd, Cumming, Georgia, 30041",2009,"Business Products & Services",32,12366630,1.684,2,2,2
"487","Alpharetta","New London Communications",13117130603,"Atlanta-Sandy Springs-Marietta, GA",15129996,-84.210136,34.103278,"301 Curie Dr, Alpharetta, Georgia, 30005",2008,"Advertising & Marketing",58,10201000,1.3969,2,2,2
"488","Alpharetta","Pure Marketing Group",13117130603,"Atlanta-Sandy Springs-Marietta, GA",15129996,-84.20987,34.102267,"225 Curie Dr, Alpharetta, Georgia, 30005",2013,"Advertising & Marketing",11,3860384,1.9339,1,1,2
"489","Alpharetta","Automation Control Products",13117130602,"Atlanta-Sandy Springs-Marietta, GA",5555271,-84.240558,34.103397,"1725 Windward Con, Alpharetta, Georgia, 30005",2013,"Software",26,4414824,0.8215,2,1,1
"490","Alpharetta","CentriNet Corp.",13117130602,"Atlanta-Sandy Springs-Marietta, GA",5555271,-84.240748,34.102409,"1720 Windward Con, Alpharetta, Georgia, 30005",2011,"IT Services",19,6320000,0.9584754,1,1,1
"491","Alpharetta","Summit Resources",13117130602,"Atlanta-Sandy Springs-Marietta, GA",5555271,-84.240748,34.102409,"1720 Windward Con, Alpharetta, Georgia, 30005",2009,"Advertising & Marketing",13,5027015,0.944,1,1,1
